"ordre","reference","intitule","bareme","phase_evaluation_reference","unite_apprentissage_reference"
"1","d5a004eb-cfc8-4a57-ab29-653a694f31c1","Les phases de base de l'idéation sont mentionnées.","2","N2","DMB-T2.U1"
"2","7e324ab2-d6a0-432d-98af-45f8b9cbfa27","La démarche d'empathie et d'idéation est adaptée au contexte du projet.","2","N2","DMB-T2.U1"
"3","849bc0da-6e77-4c7b-9c76-3505c2a1a8c8","Le processus complet de Design Thinking est rigoureusement respecté et justifié.","2","N3","DMB-T2.U1"
"1","bc713d71-f925-4c01-831d-d2f1f0a20a67","Un outil de suivi Kanban basique est utilisé.","2","N2","DMB-T2.U2"
"2","c651e4d0-afbf-4ab7-b847-a4176cfabec4","Les sprints sont définis et le suivi est régulier.","2","N2","DMB-T2.U2"
"3","da15c6db-0944-4861-8f5d-7dfb21efb71f","La méthode Agile SCRUM est strictement respectée (rôles, sprints, rituels).","2","N3","DMB-T2.U2"
"1","12b9a781-8de0-4a87-8df1-fb7ab321a603","Un schéma conceptuel de base est présent.","2","N2","DMB-T2.U3"
"2","37b42021-cd62-43bb-bbd1-dfa52f9b87f2","Le Diagramme de Classes représente correctement les entités métier (sans MCD).","2","N2","DMB-T2.U3"
"3","6f5c8801-bbf2-41ba-ac0c-db90a38ccb30","Le Diagramme de Classes est parfaitement aligné avec l'implémentation physique de la base de données.","2","N3","DMB-T2.U3"
"1","70abdfbb-5f50-48e0-ab08-2e0e0f80bb15","Des interfaces de base sont réalisées.","2","N2","DMB-T2.U4"
"2","b5258f1a-64da-44de-9e5c-cb3b827e8a93","L'UI est ergonomique et intègre du CSS personnalisé.","2","N2","DMB-T2.U4"
"3","dfd2a5cf-ecde-4cc6-bc71-85b4f62fa227","Les maquettes et l'intégration sont réalisées exclusivement avec Preline UI et CSS natif.","2","N3","DMB-T2.U4"
"1","4eaf4d52-cc20-4bfb-a9b8-3e42b2fb9882","Le code est versionné sur un dépôt Git avec une branche principale.","2","N2","DMB-T2.U5"
"2","8afc0529-6889-4977-814a-71bbf50ab23a","Des branches séparées sont utilisées pour le développement.","2","N2","DMB-T2.U5"
"3","f6d140e6-ea4e-4fbe-901d-72a39bc07df0","La convention Git Flow est strictement respectée (main, dev, features branches).","2","N3","DMB-T2.U5"
"1","4a5df15e-bcaf-4af2-8cbf-2580a1586a11","La base de données est fonctionnelle et connectée.","2","N2","DMB-T2.U6"
"2","0e12dcf6-1a52-4e4b-9e4f-22f30b2c1f01","Les tables principales sont générées par des migrations.","2","N2","DMB-T2.U6"
"3","d571f543-a602-4648-9f17-f27329583794","L'intégralité de la structure de la base de données est générée exclusivement via les fichiers de migration Laravel (aucune création manuelle).","2","N3","DMB-T2.U6"
"1","29b61d33-4011-4ca3-bfa5-fbcab933cc48","Le code respecte le pattern MVC de base.","2","N2","DMB-T2.U7"
"2","afbb2c31-31ba-43d9-ab70-cc390ba03816","La logique métier commence à être extraite des contrôleurs.","2","N2","DMB-T2.U7"
"3","d6a13d70-a3ff-4ef6-bd76-0bfbfebf4640","L'architecture isole strictement toute la logique métier via l'implémentation de la Couche Service.","2","N3","DMB-T2.U7"
"1","8f7e2d93-3d07-4e6c-9414-ab9bf6fb194f","L'environnement de test est configuré.","2","N2","DMB-T2.U8"
"2","bc1a5f6a-ba92-4180-a61f-ab80f3396827","Quelques tests unitaires basiques sont rédigés.","2","N2","DMB-T2.U8"
"3","3a11dbf2-ea24-4f24-9b2f-70db642289f0","Des tests unitaires pertinents et complets sont implémentés pour valider la logique métier.","2","N3","DMB-T2.U8"
"1","c8d20f18-6c84-4828-b0a6-ab8c34fba371","L'application Web et l'API de base sont créées.","2","N2","DMB-T2.U9"
