"ordre","code","nom","micro_competence_reference","lien","description","reference"
"78","1.1.1","Identifier le rôle du maquettage","DWB-1.1","https://solicode-web-mobile.github.io/autoformations-web/comprendre-maquettage/","Comprendre ce qu'est un wireframe et son rôle. ","DWB-1.1.1"
"79","1.1.2","Découvrir les outils de maquettage","DWB-1.1","https://solicode-web-mobile.github.io/autoformations-web/comprendre-maquettage/","Découvrir Figma et créer des maquettes simples. ","DWB-1.1.2"
"80","1.2.1","Expérience utilisateur (UX)","DWB-1.2","https://solicode-web-mobile.github.io/autoformations-web/concevoir-ux-ui/","Apprendre les notions d’UX et les règles d’ergonomie. ","DWB-1.2.1"
"81","1.2.2","Interface utilisateur & responsive","DWB-1.2","https://solicode-web-mobile.github.io/autoformations-web/concevoir-ux-ui/","Découvrir les bases de l’UI et du design responsive. ","DWB-1.2.2"
"82","2.1.1","Structurer une page HTML","DWB-2.1","https://solicode-web-mobile.github.io/autoformations-web/structurer-html/","Créer la structure de base d’une page HTML. ","DWB-2.1.1"
"83","2.1.2","Créer des formulaires accessibles","DWB-2.1","https://solicode-web-mobile.github.io/autoformations-web/structurer-html/","Apprendre les inputs, labels et validation. ","DWB-2.1.2"
"84","2.1.3","Produire un code HTML sémantique et optimisé","DWB-2.1","https://solicode-web-mobile.github.io/autoformations-web/structurer-html/","Utiliser des balises sémantiques et valider le code HTML. ","DWB-2.1.3"
"27","2.1.U1","Schéma & relations de base","DMB-C2.1","https://solicode-web-mobile.github.io/autoformation-mobile/schema-eloquent/","Tables, PK/FK, contraintes et migrations.","DMB-2.1.U1"
"28","2.1.U2","Données & requêtes Eloquent","DMB-C2.1","https://solicode-web-mobile.github.io/autoformation-mobile/schema-eloquent/","CRUD basique et relations 1-n / n-n.","DMB-2.1.U2"
"85","2.2.1","Fondamentaux de la mise en forme","DWB-2.2","https://solicode-web-mobile.github.io/autoformations-web/styliser-css/","Découvrir sélecteurs, cascade et typographie CSS. ","DWB-2.2.1"
"86","2.2.2","Mises en page modernes avec CSS","DWB-2.2","https://solicode-web-mobile.github.io/autoformations-web/styliser-css/","Apprendre Flexbox et Grid Layout. ","DWB-2.2.2"
"87","2.2.3","Techniques CSS avancées","DWB-2.2","https://solicode-web-mobile.github.io/autoformations-web/styliser-css/","Utiliser variables CSS et media queries. ","DWB-2.2.3"
"88","2.2.4","Animation et transition","DWB-2.2","https://solicode-web-mobile.github.io/autoformations-web/styliser-css/","Créer des transitions et animations simples. ","DWB-2.2.4"
"89","2.2.5","Outils CSS modernes","DWB-2.2","https://solicode-web-mobile.github.io/autoformations-web/styliser-css/","Introduction aux préprocesseurs et à Bootstrap. ","DWB-2.2.5"
"29","2.2.U1","Requêtes avancées","DMB-C2.2","https://solicode-web-mobile.github.io/autoformation-mobile/eloquent-avance/","Scopes, whereHas/withCount, sous-requêtes.","DMB-2.2.U1"
"30","2.2.U2","Transactions & performance","DMB-C2.2","https://solicode-web-mobile.github.io/autoformation-mobile/eloquent-avance/","Transactions ACID et index + EXPLAIN.","DMB-2.2.U2"
"31","2.2.U3","Exploitation & sécurité","DMB-C2.2","https://solicode-web-mobile.github.io/autoformation-mobile/eloquent-avance/","Sauvegarde/CSV et comptes/privilèges SQL.","DMB-2.2.U3"
"32","3.0.U1","PHP moderne","DMB-C3.0","https://solicode-web-mobile.github.io/autoformation-mobile/php-poo/","Types, fonctions/tableaux, exceptions.","DMB-3.0.U1"
"33","3.0.U2","POO essentielle","DMB-C3.0","https://solicode-web-mobile.github.io/autoformation-mobile/php-poo/","Classes, encapsulation, interfaces & traits.","DMB-3.0.U2"
"34","3.0.U3","CLI, fichiers & Composer","DMB-C3.0","https://solicode-web-mobile.github.io/autoformation-mobile/php-poo/","Scripts CLI, I/O JSON et autoload Composer.","DMB-3.0.U3"
"90","3.1.1","Écrire des instructions simples en JavaScript","DWB-3.1","https://solicode-web-mobile.github.io/autoformations-web/javascript-premiers-pas/","Apprendre les variables, types et fonctions simples. ","DWB-3.1.1"
"91","3.1.2","Contrôler le déroulement du code","DWB-3.1","https://solicode-web-mobile.github.io/autoformations-web/javascript-premiers-pas/","Utiliser conditions et boucles. ","DWB-3.1.2"
"92","3.1.3","Manipuler le DOM","DWB-3.1","https://solicode-web-mobile.github.io/autoformations-web/javascript-premiers-pas/","Sélectionner et modifier les éléments HTML. ","DWB-3.1.3"
"93","3.1.4","Réagir aux actions utilisateur","DWB-3.1","https://solicode-web-mobile.github.io/autoformations-web/javascript-premiers-pas/","Gérer les événements utilisateur (click, input). ","DWB-3.1.4"
"35","3.1.U1","Mise en route","DMB-C3.1","https://solicode-web-mobile.github.io/autoformation-mobile/laravel-crud/","Installation Laravel, MVC minimal, layout Blade.","DMB-3.1.U1"
"36","3.1.U2","Formulaires","DMB-C3.1","https://solicode-web-mobile.github.io/autoformation-mobile/laravel-crud/","CSRF, validation, erreurs par champ, flash.","DMB-3.1.U2"
"37","3.1.U3","CRUD simple","DMB-C3.1","https://solicode-web-mobile.github.io/autoformation-mobile/laravel-crud/","Modèle/migrations, pagination et CRUD complet.","DMB-3.1.U3"
"94","3.2.1","Interagir avec des APIs","DWB-3.2","https://solicode-web-mobile.github.io/autoformations-web/javascript-aller-plus-loin/","Utiliser fetch() et traiter du JSON. ","DWB-3.2.1"
"95","3.2.2","Affichage dynamique des données","DWB-3.2","https://solicode-web-mobile.github.io/autoformations-web/javascript-aller-plus-loin/","Créer un affichage conditionnel et dynamique. ","DWB-3.2.2"
"96","3.2.3","Organiser son code avec des concepts avancés","DWB-3.2","https://solicode-web-mobile.github.io/autoformations-web/javascript-aller-plus-loin/","Modulariser et factoriser le code. ","DWB-3.2.3"
"97","3.2.4","Gérer l’état et les objets complexes","DWB-3.2","https://solicode-web-mobile.github.io/autoformations-web/javascript-aller-plus-loin/","Manipuler les objets et l’état applicatif. ","DWB-3.2.4"
"17","3.2.U1","Authentification avec Laravel UI","DMB-C3.2","https://solicode-web-mobile.github.io/autoformation-mobile/securite-acces-admin/","Auth, throttle, CORS et policies.","DMB-3.2.U1"
"18","3.2.U2","Gestion basique des profils utilisateurs","DMB-C3.2","https://solicode-web-mobile.github.io/autoformation-mobile/securite-acces-admin/","Handler d’exceptions unifié et logs centralisés.","DMB-3.2.U2"
"19","3.2.U3","Autorisation avec les Gates Laravel","DMB-C3.2","https://solicode-web-mobile.github.io/autoformation-mobile/securite-acces-admin/","","DMB-3.2.U3"
"20","3.2.U4","Introduction aux Policies Laravel","DMB-C3.2","https://solicode-web-mobile.github.io/autoformation-mobile/securite-acces-admin/","","DMB-3.2.U4"
"38","3.3.U1","API Laravel","DMB-C3.3","https://solicode-web-mobile.github.io/autoformation-mobile/api-rest/","Routes API, JSON correct et pagination/filtre.","DMB-3.3.U1"
"98","4.1.1","Installer et configurer un CMS","DWB-4.1","https://solicode-web-mobile.github.io/autoformations-web/demarrer-wordpress/","Installer WordPress et créer des pages. ","DWB-4.1.1"
"99","4.1.2","Personnaliser l’apparence et les fonctionnalités","DWB-4.1","https://solicode-web-mobile.github.io/autoformations-web/demarrer-wordpress/","Choisir un thème et ajouter des plugins. ","DWB-4.1.2"
"40","4.1.U1","Repo propre & conventions","DMB-C4.1","https://solicode-web-mobile.github.io/autoformation-mobile/git-gitflow/","Dépôt propre, conventions, scripts setup.","DMB-4.1.U1"
"41","4.1.U2","GitFlow minimal","DMB-C4.1","https://solicode-web-mobile.github.io/autoformation-mobile/git-gitflow/","Branches, cycle issue→PR, sync propre.","DMB-4.1.U2"
"42","4.1.U3","PR, review & merge","DMB-C4.1","https://solicode-web-mobile.github.io/autoformation-mobile/git-gitflow/","Ouvrir PR, revue de code, conflits & merge.","DMB-4.1.U3"
"43","4.2.U1","Cadre Scrum","DMB-C4.2","https://solicode-web-mobile.github.io/autoformation-mobile/agile-scrum/","Sprint 1 semaine, artefacts, planning.","DMB-4.2.U1"
"44","4.2.U2","Backlog & estimation","DMB-C4.2","https://solicode-web-mobile.github.io/autoformation-mobile/agile-scrum/","Stories GWT, estimation S/M/L, tâches ≤0,5 j.","DMB-4.2.U2"
"45","4.2.U3","Exécution du sprint","DMB-C4.2","https://solicode-web-mobile.github.io/autoformation-mobile/agile-scrum/","Kanban 4 colonnes, Daily, Review & Rétro.","DMB-4.2.U3"
"100","5.1.1","Modéliser une base de données","DWB-5.1","https://solicode-web-mobile.github.io/autoformations-web/concevoir-base-relationnelle/","Créer un MCD/MLD et identifier les entités. ","DWB-5.1.1"
