ordre,code,reference,nom,lien,description,isOfficiel,unite_apprentissage_reference,duree_en_heure,formateur_reference
1,1.1.1-1,DWB-1.1.1-1,Qu’est-ce qu’un wireframe ?,https://solicode-web-mobile.github.io/autoformations-web/comprendre-maquettage/quest-ce-qu-un-wireframe/,Comprendre ce qu’est un wireframe et son utilité dans un projet web.,1,DWB-1.1.1,1,
7,1.1.1-2,DWB-1.1.1-2,Cycle de vie d’un projet web,https://solicode-web-mobile.github.io/autoformations-web/comprendre-maquettage/cycle-vie-projet-web/,Découvrir les étapes d’un projet web et le rôle du maquettage.,1,DWB-1.1.1,1,
7,1.1.2-3,DWB-1.1.2-3,Outils de maquettage,https://solicode-web-mobile.github.io/autoformations-web/comprendre-maquettage/outils-maquettage/,Découvrir les outils de wireframe et prototypage.,1,DWB-1.1.2,1,
7,1.1.2-4,DWB-1.1.2-4,S’initier à Figma,https://solicode-web-mobile.github.io/autoformations-web/comprendre-maquettage/initier-figma/,Prendre en main Figma pour créer des wireframes.,1,DWB-1.1.2,1,
7,1.1.2-5,DWB-1.1.2-5,Créer une maquette simple,https://solicode-web-mobile.github.io/autoformations-web/comprendre-maquettage/creer-maquette-simple/,Créer une maquette interactive d’une page web avec Figma.,1,DWB-1.1.2,2,
1,1.2.1-1,DWB-1.2.1-1,Notions d’UX & Design Thinking,https://solicode-web-mobile.github.io/autoformations-web/concevoir-ux-ui/notions-ux-design-thinking/,Comprendre les principes fondamentaux de l’UX et la démarche Design Thinking. ,1,DWB-1.2.1,1,
7,1.2.1-2,DWB-1.2.1-2,Règles d’ergonomie,https://solicode-web-mobile.github.io/autoformations-web/concevoir-ux-ui/regles-ergonomie/,Comprendre les principes d’ergonomie web et améliorer l’accessibilité. ,1,DWB-1.2.1,1,
7,1.2.2-3,DWB-1.2.2-3,Notions d’UI,https://solicode-web-mobile.github.io/autoformations-web/concevoir-ux-ui/notions-ui/,Découvrir les principes de conception d’une interface utilisateur efficace.,1,DWB-1.2.2,1,
7,1.2.2-4,DWB-1.2.2-4,Design responsive,https://solicode-web-mobile.github.io/autoformations-web/concevoir-ux-ui/design-responsive/,"Savoir adapter une interface web à différents supports (mobile, tablette, desktop).",1,DWB-1.2.2,1,
7,1.2.2-5,DWB-1.2.2-5,Relecture critique d’une maquette,https://solicode-web-mobile.github.io/autoformations-web/concevoir-ux-ui/relecture-critique-maquette/,Analyser et auditer une maquette web pour identifier ses points forts et faiblesses.,1,DWB-1.2.2,2,
1,2.1.1-1,DWB-2.1.1-1,Structure de base d’une page HTML,https://solicode-web-mobile.github.io/autoformations-web/structurer-html/structure-base/,Être capable de créer la structure minimale d’une page web valide en HTML5.,1,DWB-2.1.1,1,
7,2.1.1-2,DWB-2.1.1-2,"Balises de texte, images, médias, tableaux et listes",https://solicode-web-mobile.github.io/autoformations-web/structurer-html/balises-textes-medias/,"Savoir utiliser les balises HTML de base pour afficher du texte, images et listes.",1,DWB-2.1.1,2,
7,2.1.2-4,DWB-2.1.2-4,"Inputs, labels et groupes de champs",https://solicode-web-mobile.github.io/autoformations-web/structurer-html/inputs-labels-groupes/,Créer des formulaires HTML en utilisant des champs de saisie et labels accessibles. ,1,DWB-2.1.2,2,
7,2.1.2-3,DWB-2.1.2-3,Validation et accessibilité,https://solicode-web-mobile.github.io/autoformations-web/structurer-html/validation-accessibilite/,Mettre en place la validation native HTML et améliorer l’accessibilité des formulaires. ,1,DWB-2.1.2,2,
7,2.1.3-5,DWB-2.1.3-5,Balises sémantiques et SEO,https://solicode-web-mobile.github.io/autoformations-web/structurer-html/balises-semantiques-seo/,Utiliser les balises sémantiques pour un code lisible et optimisé SEO.,1,DWB-2.1.3,2,
7,2.1.3-6,DWB-2.1.3-6,Validation W3C et bonnes pratiques,https://solicode-web-mobile.github.io/autoformations-web/structurer-html/validation-w3c-bonnes-pratiques/,Vérifier la validité d’une page HTML via W3C et appliquer les bonnes pratiques.,1,DWB-2.1.3,2,
