"ordre","code","titre","sous_titre","competence_reference","lien","description","reference"
"","D.201.2","Construire un traitement algorithmique","","","","Construire des traitements algorithmiques simples afin de résoudre un problème en mobilisant les variables, les structures de contrôle, les tableaux, les parcours, la recherche, le tri et la combinaison de plusieurs traitements.","-D.201.2"
"","D.201.3","Organiser la réalisation","","","","Organiser la réalisation d’une fonctionnalité Web simple en identifiant les tâches à accomplir, en les ordonnant selon leur priorité et en répartissant le travail en fonction du temps disponible afin de conduire la réalisation jusqu’au résultat attendu.","-D.201.3"
"","D.201.1","Analyser et concevoir le modèle de données","","","","Analyser une maquette représentant un besoin existant afin d’identifier les informations manipulées, leurs caractéristiques et leurs relations, de construire un dictionnaire de données et d’identifier les dépendances fonctionnelles, puis concevoir un modèle de données cohérent en identifiant les entités, leurs propriétés, les associations et leurs cardinalités, afin de construire et de vérifier un MCD cohérent avec le besoin fonctionnel.","-D.201.1"
"1","D.211.1","Formaliser une fonctionnalité","","DMB-M201-C.211","","Formaliser une fonctionnalité déjà identifiée en précisant son système, ses acteurs, ses cas d’utilisation et les scénarios correspondant aux comportements attendus.","DMB-D.211.1"
"1","D.212.1","Modéliser les objets de la fonctionnalité","","DMB-M201-C.212","","Traduire un MLD en un modèle objet cohérent en identifiant les classes, leurs attributs, leurs identifiants, leurs associations et leurs multiplicités.","DMB-D.212.1"
"1","D.213.1","Structurer l’application en composants","","DMB-M201-C.213","","Structurer une application en composants distincts en séparant le Frontend et le Backend et en organisant leur communication à travers une API.","DMB-D.213.1"
"1","D.221.1","Programmer une fonctionnalité avec des objets","","DMB-M202-C.221","","Réaliser une fonctionnalité en PHP orienté objet en créant, manipulant et faisant collaborer des objets, puis en utilisant l’encapsulation, l’abstraction, les interfaces et le polymorphisme pour faire évoluer les implémentations.","DMB-D.221.1"
"1","D.222.1","Répartir les responsabilités entre les classes","","DMB-M202-C.222","","Analyser les responsabilités d’une fonctionnalité et les répartir entre plusieurs classes cohérentes en appliquant le principe de responsabilité unique, afin d’obtenir des classes plus spécialisées et mieux structurées.","DMB-D.222.1"
"1","D.223.1","Organiser l’application en couches","","DMB-M202-C.223","","Organiser une application en couches Présentation, Traitement et Data, isoler l’accès aux données derrière un contrat et permettre le remplacement de sa source sans modifier le traitement de la fonctionnalité.","DMB-D.223.1"
"1","D.224.1","Construire une interface web interactive et asynchrone","","","","Construire une interface web interactive et asynchrone capable de gérer son état, de mettre à jour dynamiquement son contenu et de communiquer avec une API pour synchroniser les données avec le serveur.","-D.224.1"
"1","D.225.1","Construire une interface web avec Tailwind CSS","","","","Construire une interface web structurée, responsive et cohérente à partir d’une maquette ou d’une interface existante en utilisant les utilitaires, les variantes responsive et les états visuels de Tailwind CSS.","-D.225.1"
"1","D.251.1","Organiser et suivre le travail d’un projet","","DMB-M205-C.251","","Décomposer une fonctionnalité en tâches réalisables, organiser leur ordre et leurs dépendances, puis utiliser GitHub pour suivre leur avancement, signaler les blocages et conduire le travail jusqu’à sa validation.","DMB-D.251.1"
